"Account","Flag","Date","Payee","Category Group/Category","Category Group","Category","Memo","Outflow","Inflow","Cleared"
"Credit Card – 8072","","04/17/2026","Transfer : Total Checking – 5692","Uncategorized: Uncategorized","Uncategorized","Uncategorized","","$0.00","$145.99","Uncleared"
"Credit Card – 8072","","04/17/2026","Late Fee Reversal","Monthly Living / Lifestyle: Unexpected Expenses","Monthly Living / Lifestyle","Unexpected Expenses","","$0.00","$29.00","Uncleared"
"High Yield Savings Account – 8178","","04/17/2026","Transfer : Amex Gold (Due 20th)","Uncategorized: Uncategorized","Uncategorized","Uncategorized","","$632.43","$0.00","Uncleared"
"Total Checking – 5692","","04/16/2026","Transfer : Savor – 7573","Uncategorized: Uncategorized","Uncategorized","Uncategorized","","$255.98","$0.00","Uncleared"
"Total Checking – 5692","","04/16/2026","Matchbox","Fun Spending: Bars","Fun Spending","Bars","","$50.26","$0.00","Uncleared"
"Total Checking – 5692","","04/16/2026","The Embassy","Fun Spending: Dining Out / Takeout","Fun Spending","Dining Out / Takeout","","$31.50","$0.00","Uncleared"
"Total Checking – 5692","","04/16/2026","Seven Faced Bird","Fun Spending: Dining Out / Takeout","Fun Spending","Dining Out / Takeout","","$20.64","$0.00","Uncleared"
"Amex Gold (Due 20th)","","04/16/2026","Steam","Fun Spending: General Entertainment","Fun Spending","General Entertainment","","$5.02","$0.00","Uncleared"
"Amex Gold (Due 20th)","","04/16/2026","Google","Subscriptions: Google Subscription","Subscriptions","Google Subscription","","$1.99","$0.00","Uncleared"
"Savor – 7573","","04/16/2026","Transfer : Total Checking – 5692","Uncategorized: Uncategorized","Uncategorized","Uncategorized","","$0.00","$255.98","Uncleared"
"Credit Card – 8072","","04/16/2026","Late Fee","Monthly Living / Lifestyle: Unexpected Expenses","Monthly Living / Lifestyle","Unexpected Expenses","","$29.00","$0.00","Uncleared"
"Total Checking – 5692","","04/15/2026","Mww1ql","Irregular Expenses: Reimbursements","Irregular Expenses","Reimbursements","","$750.00","$0.00","Uncleared"
"Total Checking – 5692","","04/15/2026","gangnam market","Monthly Living / Lifestyle: Groceries","Monthly Living / Lifestyle","Groceries","","$25.22","$0.00","Uncleared"
"Total Checking – 5692","","04/15/2026","gangnam market","Monthly Living / Lifestyle: Groceries","Monthly Living / Lifestyle","Groceries","","$20.37","$0.00","Uncleared"
"Total Checking – 5692","","04/15/2026","Lyft","Fun Spending: Fun Transport","Fun Spending","Fun Transport","","$19.92","$0.00","Uncleared"
"Total Checking – 5692","","04/15/2026","Nileauth","Monthly Living / Lifestyle: Unexpected Expenses","Monthly Living / Lifestyle","Unexpected Expenses","","$16.34","$0.00","Uncleared"
"Amex Gold (Due 20th)","","04/15/2026","Anthropic","Monthly Living / Lifestyle: Unexpected Expenses","Monthly Living / Lifestyle","Unexpected Expenses","","$11.50","$0.00","Uncleared"
"Credit Card – 8072","","04/15/2026","Pie Eyed Pizzeria","Fun Spending: Dining Out / Takeout","Fun Spending","Dining Out / Takeout","","$14.82","$0.00","Uncleared"
"Total Checking – 5692","","04/14/2026","Transfer : Wells Fargo Autograph Visa�� Card – 5212","Uncategorized: Uncategorized","Uncategorized","Uncategorized","","$166.00","$0.00","Uncleared"
"Total Checking – 5692","","04/14/2026","HomeGoods","Monthly Living / Lifestyle: Home Buys","Monthly Living / Lifestyle","Home Buys","","$59.71","$0.00","Uncleared"
"Total Checking – 5692","","04/14/2026","Transfer : Credit Card – 8072","Uncategorized: Uncategorized","Uncategorized","Uncategorized","","$25.00","$0.00","Uncleared"
"Total Checking – 5692","","04/14/2026","Pie Event Tic","Fun Spending: General Entertainment","Fun Spending","General Entertainment","","$17.68","$0.00","Uncleared"
"Total Checking – 5692","","04/14/2026","CVS Pharmacy","Monthly Living / Lifestyle: Groceries","Monthly Living / Lifestyle","Groceries","","$11.49","$0.00","Uncleared"
"Wells Fargo Autograph Visa�� Card – 5212","","04/14/2026","Transfer : Total Checking – 5692","Uncategorized: Uncategorized","Uncategorized","Uncategorized","","$0.00","$166.00","Uncleared"
"Credit Card – 8072","","04/14/2026","Transfer : Total Checking – 5692","Uncategorized: Uncategorized","Uncategorized","Uncategorized","","$0.00","$25.00","Uncleared"
"Credit Card – 8072","","04/14/2026","DoorDash","Fun Spending: Dining Out / Takeout","Fun Spending","Dining Out / Takeout","","$0.00","$4.86","Uncleared"
"High Yield Savings Account – 8178","","04/14/2026","Interest","Wealth Building: 😌 Emergency Fund","Wealth Building","😌 Emergency Fund","","$0.00","$2.13","Uncleared"
"Total Checking – 5692","","04/13/2026","Lyft","Fun Spending: Fun Transport","Fun Spending","Fun Transport","","$17.90","$0.00","Uncleared"
"Total Checking – 5692","","04/13/2026","ORIG CO NAME:TOCK LLC CO ENTRY DESCR:PAYROLL SEC:PPD ORIG ID:1372025006","Inflow: Ready to Assign","Inflow","Ready to Assign","","$0.00","$2,884.13","Uncleared"
"Wells Fargo Autograph Visa�� Card – 5212","","04/13/2026","The Dandy Crown","Fun Spending: Bars","Fun Spending","Bars","","$45.98","$0.00","Uncleared"
"Amex Gold (Due 20th)","","04/13/2026","365 Market","Fun Spending: Dining Out / Takeout","Fun Spending","Dining Out / Takeout","","$4.88","$0.00","Uncleared"
"Amex Gold (Due 20th)","","04/13/2026","365 Market","Fun Spending: Dining Out / Takeout","Fun Spending","Dining Out / Takeout","","$3.86","$0.00","Uncleared"
"Total Checking – 5692","","04/12/2026","Jewel-Osco","Monthly Living / Lifestyle: Groceries","Monthly Living / Lifestyle","Groceries","","$59.18","$0.00","Uncleared"
"Total Checking – 5692","","04/12/2026","gangnam market","Monthly Living / Lifestyle: Groceries","Monthly Living / Lifestyle","Groceries","","$6.54","$0.00","Uncleared"
"Amex Gold (Due 20th)","","04/12/2026","The Pre","Fun Spending: Bars","Fun Spending","Bars","","$90.54","$0.00","Uncleared"
"Amex Gold (Due 20th)","","04/12/2026","Hangge Uppe","Irregular Expenses: Gifts + Dates","Irregular Expenses","Gifts + Dates","","$29.96","$0.00","Uncleared"
"Amex Gold (Due 20th)","","04/12/2026","Hangge Uppe","Irregular Expenses: Gifts + Dates","Irregular Expenses","Gifts + Dates","","$20.80","$0.00","Uncleared"
"Amex Gold (Due 20th)","","04/12/2026","Hangge Uppe","Irregular Expenses: Gifts + Dates","Irregular Expenses","Gifts + Dates","","$16.48","$0.00","Uncleared"
"Wells Fargo Autograph Visa�� Card – 5212","","04/11/2026","gangnam market","Monthly Living / Lifestyle: Groceries","Monthly Living / Lifestyle","Groceries","","$8.23","$0.00","Uncleared"
"Amex Gold (Due 20th)","","04/11/2026","Otter","Fun Spending: Dining Out / Takeout","Fun Spending","Dining Out / Takeout","","$35.54","$0.00","Uncleared"
"Amex Gold (Due 20th)","","04/11/2026","Otter","Fun Spending: Dining Out / Takeout","Fun Spending","Dining Out / Takeout","","$25.35","$0.00","Uncleared"
"Amex Gold (Due 20th)","","04/11/2026","Apple","Monthly Living / Lifestyle: Unexpected Expenses","Monthly Living / Lifestyle","Unexpected Expenses","","$17.43","$0.00","Uncleared"
"Amex Gold (Due 20th)","","04/11/2026","Aglaia Coffee & Tea","Fun Spending: Dining Out / Takeout","Fun Spending","Dining Out / Takeout","","$13.97","$0.00","Uncleared"
"Credit Card – 8072","","04/11/2026","Uber Eats","Fun Spending: Dining Out / Takeout","Fun Spending","Dining Out / Takeout","","$29.58","$0.00","Uncleared"
"Amex Gold (Due 20th)","","04/10/2026","Jiang Niu BBQ House","Irregular Expenses: Gifts + Dates","Irregular Expenses","Gifts + Dates","","$193.64","$0.00","Uncleared"
"Amex Gold (Due 20th)","","04/10/2026","The Dandy Crown","Fun Spending: Bars","Fun Spending","Bars","","$61.65","$0.00","Uncleared"
"Amex Gold (Due 20th)","","04/10/2026","BWS Beverage","Fun Spending: At-Home Alcohol","Fun Spending","At-Home Alcohol","","$23.89","$0.00","Uncleared"
"Amex Gold (Due 20th)","","04/09/2026","The Cut","Monthly Living / Lifestyle: Haircut","Monthly Living / Lifestyle","Haircut","","$73.95","$0.00","Uncleared"
"Amex Gold (Due 20th)","","04/09/2026","Standing Pas","Monthly Living / Lifestyle: Groceries","Monthly Living / Lifestyle","Groceries","","$20.95","$0.00","Uncleared"
"Amex Gold (Due 20th)","","04/09/2026","The Dandy Crown","Fun Spending: Bars","Fun Spending","Bars","","$14.51","$0.00","Uncleared"
"Credit Card – 8072","","04/09/2026","The Dandy Crown","Fun Spending: Bars","Fun Spending","Bars","","$11.21","$0.00","Uncleared"
"Amex Gold (Due 20th)","","04/08/2026","Avec","Fun Spending: Dining Out / Takeout","Fun Spending","Dining Out / Takeout","","$137.53","$0.00","Uncleared"
"Amex Gold (Due 20th)","","04/08/2026","Flour Power","Fun Spending: Dining Out / Takeout","Fun Spending","Dining Out / Takeout","","$30.91","$0.00","Uncleared"
"Amex Gold (Due 20th)","","04/08/2026","Gangnam","Monthly Living / Lifestyle: Groceries","Monthly Living / Lifestyle","Groceries","","$16.33","$0.00","Uncleared"
"Total Checking – 5692","","04/07/2026","Afterpay","Irregular Expenses: Gifts + Dates","Irregular Expenses","Gifts + Dates","","$32.80","$0.00","Uncleared"
"Total Checking – 5692","","04/07/2026","Zayna Mediterranean Gr","Fun Spending: Dining Out / Takeout","Fun Spending","Dining Out / Takeout","","$26.60","$0.00","Uncleared"
"Total Checking – 5692","","04/07/2026","gangnam market","Monthly Living / Lifestyle: Groceries","Monthly Living / Lifestyle","Groceries","","$13.10","$0.00","Uncleared"
"Total Checking – 5692","","04/07/2026","Gallery Cafe River","Fun Spending: Dining Out / Takeout","Fun Spending","Dining Out / Takeout","","$7.75","$0.00","Uncleared"
"Total Checking – 5692","","04/07/2026","CVS Pharmacy","Monthly Living / Lifestyle: Groceries","Monthly Living / Lifestyle","Groceries","","$4.55","$0.00","Uncleared"
"Total Checking – 5692","","04/07/2026","Transfer : High Yield Savings Account – 8178","Uncategorized: Uncategorized","Uncategorized","Uncategorized","","$0.00","$100.00","Uncleared"
"Amex Gold (Due 20th)","","04/07/2026","Gangnam","Monthly Living / Lifestyle: Groceries","Monthly Living / Lifestyle","Groceries","","$9.95","$0.00","Uncleared"
"Amex Gold (Due 20th)","","04/07/2026","American Express Dining Credit","Fun Spending: Dining Out / Takeout","Fun Spending","Dining Out / Takeout","","$0.00","$10.00","Uncleared"
"High Yield Savings Account – 8178","","04/07/2026","Transfer : Total Checking – 5692","Uncategorized: Uncategorized","Uncategorized","Uncategorized","","$100.00","$0.00","Uncleared"
"Total Checking – 5692","","04/06/2026","Mary Jos","Fun Spending: Bars","Fun Spending","Bars","","$89.90","$0.00","Uncleared"
"Total Checking – 5692","","04/06/2026","The Dandy Crown","Fun Spending: Bars","Fun Spending","Bars","","$31.32","$0.00","Uncleared"
"Total Checking – 5692","","04/06/2026","365 Market","Fun Spending: Dining Out / Takeout","Fun Spending","Dining Out / Takeout","","$1.93","$0.00","Uncleared"
"Amex Gold (Due 20th)","","04/06/2026","365 Market","Fun Spending: Dining Out / Takeout","Fun Spending","Dining Out / Takeout","","$2.44","$0.00","Uncleared"
"Amex Gold (Due 20th)","","04/06/2026","Audible","Monthly Living / Lifestyle: Unexpected Expenses","Monthly Living / Lifestyle","Unexpected Expenses","","$1.08","$0.00","Uncleared"
"Amex Gold (Due 20th)","","04/06/2026","Amex Transfer","Wealth Building: 😌 Emergency Fund","Wealth Building","😌 Emergency Fund","","$0.00","$250.00","Uncleared"
"Credit Card – 8072","","04/06/2026","DoorDash","Fun Spending: Dining Out / Takeout","Fun Spending","Dining Out / Takeout","","$0.00","$4.99","Uncleared"
"Total Checking – 5692","","04/05/2026","gangnam market","Monthly Living / Lifestyle: Groceries","Monthly Living / Lifestyle","Groceries","","$18.13","$0.00","Uncleared"
"Total Checking – 5692","","04/05/2026","CVS Pharmacy","Monthly Living / Lifestyle: Groceries","Monthly Living / Lifestyle","Groceries","","$7.24","$0.00","Uncleared"
"Amex Gold (Due 20th)","","04/05/2026","Prysm Nightclub","Fun Spending: Bars","Fun Spending","Bars","","$37.31","$0.00","Uncleared"
"Amex Gold (Due 20th)","","04/05/2026","The Dandy Crown","Fun Spending: Bars","Fun Spending","Bars","","$35.93","$0.00","Uncleared"
"Amex Gold (Due 20th)","","04/05/2026","GrubHub","Fun Spending: Dining Out / Takeout","Fun Spending","Dining Out / Takeout","","$33.90","$0.00","Uncleared"
"Amex Gold (Due 20th)","","04/05/2026","Joe's Bar","Fun Spending: Bars","Fun Spending","Bars","","$27.66","$0.00","Uncleared"
"Amex Gold (Due 20th)","","04/05/2026","Joe's Bar","Fun Spending: Bars","Fun Spending","Bars","","$27.00","$0.00","Uncleared"
"Amex Gold (Due 20th)","","04/05/2026","Matchbox","Fun Spending: Bars","Fun Spending","Bars","","$23.13","$0.00","Uncleared"
"Amex Gold (Due 20th)","","04/05/2026","Claude.ai","Monthly Living / Lifestyle: Unexpected Expenses","Monthly Living / Lifestyle","Unexpected Expenses","","$23.00","$0.00","Uncleared"
"Amex Gold (Due 20th)","","04/05/2026","The Dandy Crown","Fun Spending: Bars","Fun Spending","Bars","","$19.50","$0.00","Uncleared"
"Amex Gold (Due 20th)","","04/05/2026","Seven Faced Bir","Fun Spending: Dining Out / Takeout","Fun Spending","Dining Out / Takeout","","$18.87","$0.00","Uncleared"
"Amex Gold (Due 20th)","","04/05/2026","Prysm Nightclub","Fun Spending: Bars","Fun Spending","Bars","","$18.10","$0.00","Uncleared"
"Amex Gold (Due 20th)","","04/05/2026","Battle.net","Monthly Living / Lifestyle: Unexpected Expenses","Monthly Living / Lifestyle","Unexpected Expenses","","$16.53","$0.00","Uncleared"
"Amex Gold (Due 20th)","","04/05/2026","Lyft","Fun Spending: Fun Transport","Fun Spending","Fun Transport","","$12.52","$0.00","Uncleared"
"Amex Gold (Due 20th)","","04/05/2026","Prysm Nightclub","Fun Spending: Bars","Fun Spending","Bars","","$11.63","$0.00","Uncleared"
"Amex Gold (Due 20th)","","04/05/2026","Prysm Nightclub","Fun Spending: Bars","Fun Spending","Bars","","$11.63","$0.00","Uncleared"
"Amex Gold (Due 20th)","","04/05/2026","Proton AG","Monthly Living / Lifestyle: Unexpected Expenses","Monthly Living / Lifestyle","Unexpected Expenses","","$9.99","$0.00","Uncleared"
"Amex Gold (Due 20th)","","04/05/2026","Gangnam","Monthly Living / Lifestyle: Groceries","Monthly Living / Lifestyle","Groceries","","$7.68","$0.00","Uncleared"
"Amex Gold (Due 20th)","","04/05/2026","Uber","Wealth Building: Travel","Wealth Building","Travel","","$5.00","$0.00","Uncleared"
"Credit Card – 8072","","04/05/2026","DoorDash","Fun Spending: Dining Out / Takeout","Fun Spending","Dining Out / Takeout","","$0.00","$4.99","Uncleared"
"Credit Card – 8072","","04/05/2026","DoorDash","Fun Spending: Dining Out / Takeout","Fun Spending","Dining Out / Takeout","","$0.00","$4.99","Uncleared"
"Credit Card – 8072","","04/05/2026","DoorDash","Fun Spending: Dining Out / Takeout","Fun Spending","Dining Out / Takeout","","$0.00","$4.99","Uncleared"
"Credit Card – 8072","","04/05/2026","DoorDash","Fun Spending: Dining Out / Takeout","Fun Spending","Dining Out / Takeout","","$0.00","$4.99","Uncleared"
"Credit Card – 8072","","04/05/2026","DoorDash","Fun Spending: Dining Out / Takeout","Fun Spending","Dining Out / Takeout","","$0.00","$4.99","Uncleared"
"Credit Card – 8072","","04/05/2026","DoorDash","Fun Spending: Dining Out / Takeout","Fun Spending","Dining Out / Takeout","","$0.00","$4.99","Uncleared"
"Credit Card – 8072","","04/05/2026","DoorDash","Fun Spending: Dining Out / Takeout","Fun Spending","Dining Out / Takeout","","$0.00","$4.99","Uncleared"
"Total Checking – 5692","","04/04/2026","PYMT SENT VENMO *LOGAN MARSHALL VISA DIRECT NY 1185","Irregular Expenses: Gifts + Dates","Irregular Expenses","Gifts + Dates","","$71.00","$0.00","Uncleared"
"Total Checking – 5692","","04/04/2026","AXS","Fun Spending: General Entertainment","Fun Spending","General Entertainment","","$27.34","$0.00","Uncleared"
"Total Checking – 5692","","04/04/2026","Lyft","Fun Spending: Fun Transport","Fun Spending","Fun Transport","","$15.56","$0.00","Uncleared"
"Total Checking – 5692","","04/04/2026","Spotify","Subscriptions: Spotify","Subscriptions","Spotify","","$14.17","$0.00","Uncleared"
"Total Checking – 5692","","04/04/2026","Prysm Nightclub","Fun Spending: General Entertainment","Fun Spending","General Entertainment","","$5.00","$0.00","Uncleared"
"Amex Gold (Due 20th)","","04/04/2026","Pie Eyed Pizzeria","Fun Spending: Dining Out / Takeout","Fun Spending","Dining Out / Takeout","","$35.25","$0.00","Uncleared"
"High Yield Savings Account – 8178","","04/04/2026","Amex Transfer","Wealth Building: 😌 Emergency Fund","Wealth Building","😌 Emergency Fund","","$250.00","$0.00","Uncleared"
"Total Checking – 5692","","04/03/2026","Rental","Bills: 🏠 Rent","Bills","🏠 Rent","","$2,504.00","$0.00","Uncleared"
"Total Checking – 5692","","04/03/2026","Hiro","Irregular Expenses: Gifts + Dates","Irregular Expenses","Gifts + Dates","","$135.04","$0.00","Uncleared"
"Total Checking – 5692","","04/03/2026","Matchbox","Fun Spending: Bars","Fun Spending","Bars","","$47.58","$0.00","Uncleared"
"Total Checking – 5692","","04/03/2026","gangnam market","Monthly Living / Lifestyle: Groceries","Monthly Living / Lifestyle","Groceries","","$11.11","$0.00","Uncleared"
"Amex Gold (Due 20th)","","04/03/2026","The Dandy Crown","Fun Spending: Bars","Fun Spending","Bars","","$11.06","$0.00","Uncleared"
"Amex Gold (Due 20th)","","04/03/2026","Netflix","Monthly Living / Lifestyle: Unexpected Expenses","Monthly Living / Lifestyle","Unexpected Expenses","","$8.81","$0.00","Uncleared"
"Amex Gold (Due 20th)","","04/03/2026","Steam","Fun Spending: General Entertainment","Fun Spending","General Entertainment","","$5.00","$0.00","Uncleared"
"Amex Gold (Due 20th)","","04/03/2026","Google One","Subscriptions: Google Subscription","Subscriptions","Google Subscription","","$2.17","$0.00","Uncleared"
"Credit Card – 8072","","04/03/2026","Good Ambler","Fun Spending: Dining Out / Takeout","Fun Spending","Dining Out / Takeout","","$8.05","$0.00","Uncleared"
"Total Checking – 5692","","04/02/2026","Binny's Beverage Depot","Fun Spending: At-Home Alcohol","Fun Spending","At-Home Alcohol","","$34.01","$0.00","Uncleared"
"Amex Gold (Due 20th)","","04/02/2026","BWS Beverage","Fun Spending: At-Home Alcohol","Fun Spending","At-Home Alcohol","","$39.44","$0.00","Uncleared"
"Amex Gold (Due 20th)","","04/02/2026","The Dandy Crown","Fun Spending: Bars","Fun Spending","Bars","","$22.27","$0.00","Uncleared"
"Amex Gold (Due 20th)","","04/02/2026","Gangnam","Monthly Living / Lifestyle: Groceries","Monthly Living / Lifestyle","Groceries","","$18.35","$0.00","Uncleared"
"Amex Gold (Due 20th)","","04/02/2026","365 Market","Monthly Living / Lifestyle: Unexpected Expenses","Monthly Living / Lifestyle","Unexpected Expenses","","$4.88","$0.00","Uncleared"
"Total Checking – 5692","","04/01/2026","VENMO *Ardy S Taveeras Visa Direct NY 03/31","Fun Spending: General Entertainment","Fun Spending","General Entertainment","","$80.00","$0.00","Uncleared"
"Total Checking – 5692","","04/01/2026","Ynab","Subscriptions: YNAB","Subscriptions","YNAB","","$14.99","$0.00","Uncleared"
"Total Checking – 5692","","04/01/2026","CVS Pharmacy","Monthly Living / Lifestyle: Groceries","Monthly Living / Lifestyle","Groceries","","$11.63","$0.00","Uncleared"
"Amex Gold (Due 20th)","","04/01/2026","Gangnam","Monthly Living / Lifestyle: Groceries","Monthly Living / Lifestyle","Groceries","","$26.65","$0.00","Uncleared"
"Amex Gold (Due 20th)","","04/01/2026","PingPod","Fun Spending: General Entertainment","Fun Spending","General Entertainment","","$22.05","$0.00","Uncleared"
"Amex Gold (Due 20th)","","04/01/2026","PingPod","Fun Spending: General Entertainment","Fun Spending","General Entertainment","","$3.72","$0.00","Uncleared"
"Total Checking – 5692","","03/31/2026","Department of Education","Bills: 🎓 Student loans","Bills","🎓 Student loans","","$253.22","$0.00","Uncleared"
"Total Checking – 5692","","03/31/2026","ComEd","Bills: Electricity","Bills","Electricity","","$42.73","$0.00","Uncleared"
"Amex Gold (Due 20th)","","03/31/2026","Tamu Sushi","Fun Spending: Amex Credit","Fun Spending","Amex Credit","","$173.14","$0.00","Uncleared"
"Amex Gold (Due 20th)","","03/31/2026","Meadowlark Hospitality LLC","Fun Spending: Amex Credit","Fun Spending","Amex Credit","","$71.79","$0.00","Uncleared"
"Total Checking – 5692","","03/30/2026","Transfer : Amex Gold (Due 20th)","Uncategorized: Uncategorized","Uncategorized","Uncategorized","","$331.51","$0.00","Uncleared"
"Total Checking – 5692","","03/30/2026","The Dandy Crown","Fun Spending: Bars","Fun Spending","Bars","","$44.83","$0.00","Uncleared"
"Total Checking – 5692","","03/30/2026","Lyft","Fun Spending: Fun Transport","Fun Spending","Fun Transport","","$26.29","$0.00","Uncleared"
"Total Checking – 5692","","03/30/2026","gangnam market","Monthly Living / Lifestyle: Groceries","Monthly Living / Lifestyle","Groceries","","$7.48","$0.00","Uncleared"
"Total Checking – 5692","","03/30/2026","365 Market","Fun Spending: Dining Out / Takeout","Fun Spending","Dining Out / Takeout","","$1.93","$0.00","Uncleared"
"Amex Gold (Due 20th)","","03/30/2026","Transfer : Total Checking – 5692","Uncategorized: Uncategorized","Uncategorized","Uncategorized","","$0.00","$331.51","Uncleared"
"Total Checking – 5692","","03/29/2026","gangnam market","Monthly Living / Lifestyle: Groceries","Monthly Living / Lifestyle","Groceries","","$45.96","$0.00","Uncleared"
"Total Checking – 5692","","03/29/2026","Jewel-Osco","Monthly Living / Lifestyle: Groceries","Monthly Living / Lifestyle","Groceries","","$24.40","$0.00","Uncleared"
"Amex Gold (Due 20th)","","03/29/2026","GrubHub","Fun Spending: Dining Out / Takeout","Fun Spending","Dining Out / Takeout","","$31.08","$0.00","Uncleared"
"Amex Gold (Due 20th)","","03/29/2026","Headquarters","Fun Spending: Bars","Fun Spending","Bars","","$30.70","$0.00","Uncleared"
"Amex Gold (Due 20th)","","03/29/2026","Headquarters","Fun Spending: Bars","Fun Spending","Bars","","$12.05","$0.00","Uncleared"
"Amex Gold (Due 20th)","","03/29/2026","The Dandy Crown","Fun Spending: Bars","Fun Spending","Bars","","$11.91","$0.00","Uncleared"
"Amex Gold (Due 20th)","","03/29/2026","Paramount+","Monthly Living / Lifestyle: Unexpected Expenses","Monthly Living / Lifestyle","Unexpected Expenses","","$3.26","$0.00","Uncleared"
"Total Checking – 5692","","03/28/2026","DK","Fun Spending: General Entertainment","Fun Spending","General Entertainment","","$20.00","$0.00","Uncleared"
"Amex Gold (Due 20th)","","03/28/2026","Cava","Fun Spending: Dining Out / Takeout","Fun Spending","Dining Out / Takeout","","$18.10","$0.00","Uncleared"
"Total Checking – 5692","","03/27/2026","CVS Pharmacy","Monthly Living / Lifestyle: Groceries","Monthly Living / Lifestyle","Groceries","","$10.52","$0.00","Uncleared"
"Amex Gold (Due 20th)","","03/27/2026","Nordstrom Rack","Fun Spending: Fun Clothing","Fun Spending","Fun Clothing","","$99.19","$0.00","Uncleared"
"Amex Gold (Due 20th)","","03/27/2026","Texan Taco Bar","Fun Spending: Bars","Fun Spending","Bars","","$52.02","$0.00","Uncleared"
"Amex Gold (Due 20th)","","03/27/2026","GrubHub","Fun Spending: Dining Out / Takeout","Fun Spending","Dining Out / Takeout","","$25.98","$0.00","Uncleared"
"Amex Gold (Due 20th)","","03/27/2026","Texan Taco Bar","Fun Spending: Bars","Fun Spending","Bars","","$24.31","$0.00","Uncleared"
"Amex Gold (Due 20th)","","03/27/2026","Poke Poke","Fun Spending: Dining Out / Takeout","Fun Spending","Dining Out / Takeout","","$21.18","$0.00","Uncleared"
"Amex Gold (Due 20th)","","03/27/2026","The Dandy Crown","Fun Spending: Bars","Fun Spending","Bars","","$16.81","$0.00","Uncleared"
"Amex Gold (Due 20th)","","03/27/2026","gangnam market","Monthly Living / Lifestyle: Groceries","Monthly Living / Lifestyle","Groceries","","$16.31","$0.00","Uncleared"
"Amex Gold (Due 20th)","","03/27/2026","Gangnam","Monthly Living / Lifestyle: Groceries","Monthly Living / Lifestyle","Groceries","","$14.30","$0.00","Uncleared"
"Amex Gold (Due 20th)","","03/27/2026","365 Market","Fun Spending: Dining Out / Takeout","Fun Spending","Dining Out / Takeout","","$2.44","$0.00","Uncleared"
"Amex Gold (Due 20th)","","03/26/2026","LEYE Ramen","Fun Spending: Dining Out / Takeout","Fun Spending","Dining Out / Takeout","","$56.98","$0.00","Uncleared"
"Amex Gold (Due 20th)","","03/26/2026","GrubHub","Fun Spending: Dining Out / Takeout","Fun Spending","Dining Out / Takeout","","$46.30","$0.00","Uncleared"
"Amex Gold (Due 20th)","","03/26/2026","GitHub","Monthly Living / Lifestyle: Unexpected Expenses","Monthly Living / Lifestyle","Unexpected Expenses","","$11.50","$0.00","Uncleared"
"Amex Gold (Due 20th)","","03/26/2026","Sawada Coffee","Fun Spending: Dining Out / Takeout","Fun Spending","Dining Out / Takeout","","$9.34","$0.00","Uncleared"
"Amex Gold (Due 20th)","","03/26/2026","Good Ambler","Fun Spending: Dining Out / Takeout","Fun Spending","Dining Out / Takeout","","$6.62","$0.00","Uncleared"
"Amex Gold (Due 20th)","","03/26/2026","Apple","Monthly Living / Lifestyle: Unexpected Expenses","Monthly Living / Lifestyle","Unexpected Expenses","","$3.26","$0.00","Uncleared"
"Amex Gold (Due 20th)","","03/26/2026","Apple","Monthly Living / Lifestyle: Unexpected Expenses","Monthly Living / Lifestyle","Unexpected Expenses","","$2.17","$0.00","Uncleared"
"Amex Gold (Due 20th)","","03/26/2026","Interest Charge","Irregular Expenses: Interest","Irregular Expenses","Interest","","$1.52","$0.00","Uncleared"
"Total Checking – 5692","","03/25/2026","Ventra","Bills: Public Transit","Bills","Public Transit","","$5.00","$0.00","Uncleared"
"Total Checking – 5692","","03/25/2026","Ventra","Bills: Public Transit","Bills","Public Transit","","$2.25","$0.00","Uncleared"
"Amex Gold (Due 20th)","","03/25/2026","Flour Power Pasta","Irregular Expenses: Gifts + Dates","Irregular Expenses","Gifts + Dates","","$129.80","$0.00","Uncleared"
"Amex Gold (Due 20th)","","03/25/2026","Ventra","Bills: Public Transit","Bills","Public Transit","","$75.00","$0.00","Uncleared"
"Amex Gold (Due 20th)","","03/25/2026","The Dandy Crown","Fun Spending: Bars","Fun Spending","Bars","","$56.04","$0.00","Uncleared"
"Amex Gold (Due 20th)","","03/25/2026","Forbidden Root","Irregular Expenses: Gifts + Dates","Irregular Expenses","Gifts + Dates","","$20.07","$0.00","Uncleared"
"Amex Gold (Due 20th)","","03/25/2026","Loop Tavern","Fun Spending: Dining Out / Takeout","Fun Spending","Dining Out / Takeout","","$18.34","$0.00","Uncleared"
"Amex Gold (Due 20th)","","03/25/2026","Seven F","Wealth Building: Travel","Wealth Building","Travel","","$11.15","$0.00","Uncleared"
"Amex Gold (Due 20th)","","03/25/2026","Gangnam","Monthly Living / Lifestyle: Groceries","Monthly Living / Lifestyle","Groceries","","$7.08","$0.00","Uncleared"
"Total Checking – 5692","","03/24/2026","Chase Check","Inflow: Ready to Assign","Inflow","Ready to Assign","","$0.00","$76.00","Uncleared"
"Amex Gold (Due 20th)","","03/24/2026","Seven F","Wealth Building: Travel","Wealth Building","Travel","","$17.72","$0.00","Uncleared"
"Amex Gold (Due 20th)","","03/24/2026","Ventra","Bills: Public Transit","Bills","Public Transit","","$5.00","$0.00","Uncleared"
"Amex Gold (Due 20th)","","03/24/2026","Em Gangn","Wealth Building: Travel","Wealth Building","Travel","","$3.29","$0.00","Uncleared"
"Amex Gold (Due 20th)","","03/23/2026","Transfer : Total Checking – 5692","Uncategorized: Uncategorized","Uncategorized","Uncategorized","","$0.00","$1,402.59","Uncleared"
